2025-08-16 03:14:56 | IP: 2804:7f0:6481:f346:f07b:da01:7e76:62eb | País: BR | Motivo: Acesso fora do Brasil
2025-08-16 03:15:10 | IP: 2804:7f0:6481:f346:f07b:da01:7e76:62eb | País: BR | Motivo: Acesso fora do Brasil
2025-08-16 03:18:46 | IP: 149.50.215.202 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:18:46 | IP: 93.71.103.137 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:18:47 | IP: 156.146.41.69 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:18:47 | IP: 149.22.91.138 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:19:44 | IP: 159.69.213.133 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 03:22:10 | IP: 93.71.103.137 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:22:11 | IP: 156.146.41.69 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:22:18 | IP: 149.50.215.202 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:29:46 | IP: 159.69.213.133 | País: DE | Motivo: Acesso fora do Brasil
2025-08-16 03:33:39 | IP: 93.71.103.137 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:33:39 | IP: 149.50.215.202 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:33:39 | IP: 156.146.41.69 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:33:39 | IP: 149.22.91.138 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:36:55 | IP: 149.50.215.202 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:37:01 | IP: 156.146.41.69 | País: IT | Motivo: Acesso fora do Brasil
2025-08-16 03:37:01 | IP: 93.71.103.137 | País: IT | Motivo: Acesso fora do Brasil
